convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,9,15,Triangular Numbers,91.62834551,0.893268447
Fibonacci,10,5,Fibonacci,78.98775323,0.70019316
Fibonacci,10,5,Square,78.10274563,0.692496825
Fibonacci,10,5,Cube,79.07580456,0.667819787
Fibonacci,10,5,Prime Numbers,78.32283829,0.715854508
Fibonacci,10,5,Ramanujan Summation,79.97511973,0.735864249
Fibonacci,10,5,Triangular Numbers,78.85294262,0.752154586
Fibonacci,10,6,Fibonacci,80.9745028,0.815565312
Fibonacci,10,6,Square,81.47861416,0.794344896
Fibonacci,10,6,Cube,82.21293145,0.758456389
Fibonacci,10,6,Prime Numbers,81.23627545,0.758090216
Fibonacci,10,6,Ramanujan Summation,80.9777796,0.793507873
Fibonacci,10,6,Triangular Numbers,82.04368721,0.831628508
Fibonacci,10,7,Fibonacci,84.84496657,0.80231571
Fibonacci,10,7,Square,84.09305682,0.772543457
Fibonacci,10,7,Cube,84.12896169,0.7463567
Fibonacci,10,7,Prime Numbers,84.83204994,0.723739737
Fibonacci,10,7,Ramanujan Summation,83.15191566,0.829313484
Fibonacci,10,7,Triangular Numbers,83.19253623,0.824898926
Fibonacci,10,8,Fibonacci,86.68155578,0.852868176
Fibonacci,10,8,Square,87.18655285,0.817567028
Fibonacci,10,8,Cube,87.71090757,0.894346737
Fibonacci,10,8,Prime Numbers,88.87535622,0.799794075
Fibonacci,10,8,Ramanujan Summation,88.25765962,0.871763462
Fibonacci,10,8,Triangular Numbers,87.24006147,0.822062855
Fibonacci,10,9,Fibonacci,90.18098379,0.821582462
Fibonacci,10,9,Square,89.19747064,0.881626515
Fibonacci,10,9,Cube,90.18148686,0.872481806
Fibonacci,10,9,Prime Numbers,89.91134136,0.869848638
Fibonacci,10,9,Ramanujan Summation,90.52271856,0.856063921
Fibonacci,10,9,Triangular Numbers,89.37276906,0.850105346
Fibonacci,10,10,Fibonacci,93.51934651,0.9994186
Fibonacci,10,10,Square,94.53273891,0.939212832
Fibonacci,10,10,Cube,92.89123985,0.916141345
Fibonacci,10,10,Prime Numbers,93.40171172,0.885589958
Fibonacci,10,10,Ramanujan Summation,93.69014399,0.93035786
Fibonacci,10,10,Triangular Numbers,92.59877953,0.905899739
Fibonacci,10,11,Fibonacci,92.72409248,0.876310238
Fibonacci,10,11,Square,92.5125924,0.859821784
Fibonacci,10,11,Cube,92.5976761,0.870954133
Fibonacci,10,11,Prime Numbers,91.72699022,0.716478713
Fibonacci,10,11,Ramanujan Summation,92.52451017,0.885530042
Fibonacci,10,11,Triangular Numbers,92.99799829,0.850576196
Fibonacci,10,12,Fibonacci,93.45114361,0.9496335
Fibonacci,10,12,Square,92.95927083,0.870967204
Fibonacci,10,12,Cube,94.15318246,0.810551829
Fibonacci,10,12,Prime Numbers,91.23265244,0.867505992
Fibonacci,10,12,Ramanujan Summation,92.87232064,0.817693946
Fibonacci,10,12,Triangular Numbers,92.18334201,0.893670371
Fibonacci,10,13,Fibonacci,93.68980293,0.879547368
Fibonacci,10,13,Square,90.69170171,0.912891982
Fibonacci,10,13,Cube,90.66027816,0.82545591
Fibonacci,10,13,Prime Numbers,90.90060735,0.866700405
Fibonacci,10,13,Ramanujan Summation,89.37610428,0.79674891
Fibonacci,10,13,Triangular Numbers,90.97424498,0.900074739
Fibonacci,10,14,Fibonacci,90.24086734,0.885943559
Fibonacci,10,14,Square,91.15039379,0.884790251
Fibonacci,10,14,Cube,91.34175598,0.860080952
Fibonacci,10,14,Prime Numbers,92.87617084,0.880738645
Fibonacci,10,14,Ramanujan Summation,91.95042384,0.940216955
Fibonacci,10,14,Triangular Numbers,90.42309634,0.845745287
Fibonacci,10,15,Fibonacci,89.60158533,0.861932259
Fibonacci,10,15,Square,90.99191917,0.800693685
Fibonacci,10,15,Cube,89.17976679,0.811586952
Fibonacci,10,15,Prime Numbers,92.33145877,0.859890665
Fibonacci,10,15,Ramanujan Summation,91.67944012,0.910196677
Fibonacci,10,15,Triangular Numbers,90.03082435,0.842185959
Fibonacci,11,5,Fibonacci,80.08686547,0.756204174
Fibonacci,11,5,Square,83.15387237,0.747655738
Fibonacci,11,5,Cube,81.68546015,0.741262166
Fibonacci,11,5,Prime Numbers,83.03781631,0.782748573
Fibonacci,11,5,Ramanujan Summation,80.20557234,0.693137118
Fibonacci,11,5,Triangular Numbers,81.20062498,0.832046979
Fibonacci,11,6,Fibonacci,84.6052437,0.762728885
Fibonacci,11,6,Square,84.64698059,0.832095174
Fibonacci,11,6,Cube,84.14993453,0.73250007
Fibonacci,11,6,Prime Numbers,85.22284993,0.829442007
Fibonacci,11,6,Ramanujan Summation,83.53237957,0.82959723
Fibonacci,11,6,Triangular Numbers,84.45762051,0.815210104
Fibonacci,11,7,Fibonacci,87.52029563,0.774278574
